title,content,type,expires,code,destination_url,store,category,Banner,price_reduce,,store,image,,,Categories,Slug,Thumb,Thumb2
Điện máy xanh xả kho hàng hè,"Nhiều mặt hàng giảm giá# khuyến mãi",sale,31/08/2017 23:59,,https://hc.com.vn/khuyen-mai/xa-hang-he-tra-gop-0-3,Điện Máy Xanh,"cong-nghe#gia-dung",,Khuyến mãi,,Bia Sapporo,https://voucherbox.vn/file/2017/01/bia-sapporo.png,,,Quà tặng,qua-tang,https://voucherbox.vn/appz73/images2/ico_qua-tang.png,https://voucherbox.vn/appz73/images2/ico_qua-tang2.png
Mã giảm 50K cho đơn hàng Voucher dịch vụ ẩm thực,Áp dụng với đơn hàng từ 600K,code,31/08/2017 23:59,THANG8,https://pub.accesstrade.vn/deep_link/4529754849587926032?url=https%3A%2F%2Fdeal.adayroi.com%2Fam-thuc-ban-chay-lp13,Adayroi,am-thuc,,50.000đ,,Bia Tiger,https://voucherbox.vn/file/2017/01/bia-tiger.png,,,Sách,sach,https://voucherbox.vn/appz73/images2/ico_sach.png,https://voucherbox.vn/appz73/images2/ico_sach2.png
Voucher iSushi giảm giá tại Hà Nội,Giảm thêm 10% khi mua trên App,code,08/09/2017 23:59,APPNEW,https://pub.accesstrade.vn/deep_link/4529754849587926032?url=https%3A%2F%2Fdeal.adayroi.com%2Fthuong-thuc-thoa-thich-sashimi-ca-hoi-tuoi-ngonbuffet-sakura-isushi-p61000873,iSushi,am-thuc,,14%,,Bibomart,https://voucherbox.vn/file/2017/05/bibomart.png,,,Sức khỏe,suc-khoe,https://voucherbox.vn/appz73/images2/ico_suc-khoe.png,https://voucherbox.vn/appz73/images2/ico_suc-khoe2.png
Mã giảm 10% nhiều dòng sản phẩm gia dụng,Giảm giá tối đa 40.000đ/đơn hàng,code,31/08/2017 23:59,HCGD1A,https://pub.accesstrade.vn/deep_link/4529754849587926032?url=https%3A%2F%2Fwww.adayroi.com%2Fhoi-cho-gia-dung-lp2184,Adayroi,gia-dung,,10%,,Bitis,https://voucherbox.vn/file/2017/01/voucher-bitis.png,,,Thể Thao,the-thao,https://voucherbox.vn/appz73/images2/ico_the-thao.png,https://voucherbox.vn/appz73/images2/ico_the-thao2.png
Mã giảm 40K x 2 chuyến Uber,Áp dụng cho khách hàng mới,code,31/08/2017 23:59,SHOPEE88,https://shopee.vn/web/events3/code/3354998642/,Uber,doi-song,,40.000đ,,Bò sữa,https://voucherbox.vn/file/2017/01/bo-sua.png,,,Thời trang,thoi-trang,https://voucherbox.vn/appz73/images2/ico_thoi-trang.png,https://voucherbox.vn/appz73/images2/ico_thoi-trang2.png
Giảm giá 15% cho đơn hàng Bitis Hunter,Khi thanh toán bằng thẻ MasterCard,sale,02/09/2017 23:59,,https://pub.accesstrade.vn/deep_link/4529754849587926032?url=https%3A%2F%2Fwww.adayroi.com%2Fbiti-s-br13734,Bitis,thoi-trang,,15%,,Bobby,https://voucherbox.vn/file/2016/09/Bobby.png,,,,,,
Mã giàm 12% mỹ phẩm La Roche Posay,Ưu đãi đặc biệt khi mua hàng trực tuyến,code,31/08/2017 23:59,LZDLIVE12,https://pub.accesstrade.vn/deep_link/4529754849587926032?url=http%3A%2F%2Fwww.lazada.vn%2Fla-roche-posay-viet-nam%2F,Lazada,lam-dep,,12%,,Booking,https://voucherbox.vn/file/2016/08/Booking.png,,,,,,
Mã giảm 10% cho đơn hàng thời trang,Áp dụng các SP tại Link khuyến mãi,code,31/08/2017 23:59,WBSFOLLOW,https://shopee.vn/web/events3/code/3644858245/,Shopee,thoi-trang,,10%,,Bosch,https://voucherbox.vn/wp-content/uploads/2017/02/bosch.png,,,,,,
,,,,,,,,,,,California Fitness & Yoga,https://voucherbox.vn/file/2016/09/canifornia-fitness-and-yoga.png,,,,,,
,,,,,,,,,,,Canifa,https://voucherbox.vn/file/2016/09/Canifa.png,,,,,,
